predictor,side,top20_mean_abs_shap,top20_directional_mean,n_features,n_active_features
BMU ID,BID,0.16707740220822317,-22.48707360716652,630,299
BMU ID,OFFER,0.2718806877372054,23.80163124839667,503,254
Family ID,BID,0.30530635297407416,-24.266326474797292,440,278
Family ID,OFFER,0.4930859739909331,21.52073195375295,353,215
Generation type,BID,1.331889422950856,-16.418627352540692,19,19
Generation type,OFFER,1.3649679155769674,14.845619999355373,18,18
