year,predictor,source_column,feature,fuel_type,side,mean_abs_shap,conditional_mean_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank,year_rows,year_unique_sps,year_shap_rows
2023,BMU ID,marginal_bmu_id,T_DINO-2_OFFER,PS,OFFER,1.2945336286746156,49.34409635607065,1.0,0.0,47,0.09843990165851668,0.2396499277478169,90.5908307012861,1,1,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_COSO-1_OFFER,CCGT,OFFER,0.9336353441625007,41.457367958742005,1.0,0.0,47,0.05545731578906896,0.2396499277478169,90.5908307012861,2,2,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DRAXX-3_BID,BIOMASS,BID,0.9249899585337922,-25.19574019938583,0.0,1.0,74,0.03719557628747203,0.2396499277478169,90.5908307012861,3,1,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_RYHPS-1_OFFER,CCGT,OFFER,0.8750076169547236,48.561742910421415,1.0,0.0,38,0.059629870878062805,0.2396499277478169,90.5908307012861,4,3,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_SEAB-1_OFFER,CCGT,OFFER,0.7411935363271213,25.62133073440711,1.0,0.0,63,0.02805425740083718,0.2396499277478169,90.5908307012861,5,4,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_HUMR-1_OFFER,CCGT,OFFER,0.7190874659201868,27.09985472636216,1.0,0.0,50,0.033692398783954816,0.2396499277478169,90.5908307012861,6,5,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_CRUA-1_OFFER,PS,OFFER,0.659843071266053,28.195591483739683,1.0,0.0,40,0.03515439172908402,0.2396499277478169,90.5908307012861,7,6,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_HUMR-1_BID,CCGT,BID,0.643342161630206,-20.352418142523568,0.0,1.0,60,0.024322547701667818,0.2396499277478169,90.5908307012861,8,2,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DRAXX-2_BID,BIOMASS,BID,0.5728304084876539,-18.511099475335467,0.0,1.0,59,0.023203611161493786,0.2396499277478169,90.5908307012861,9,3,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_TKNEW-1_BID,WIND,BID,0.5285301984919493,-46.948913366362774,0.0,1.0,24,0.03710477224198312,0.2396499277478169,90.5908307012861,10,4,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DINO-5_OFFER,PS,OFFER,0.5047688605983892,54.30816453289012,1.0,0.0,18,0.04296567294257935,0.2396499277478169,90.5908307012861,11,7,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DAMC-1_OFFER,CCGT,OFFER,0.5033122764798057,25.70101827115675,1.0,0.0,39,0.0233278102758534,0.2396499277478169,90.5908307012861,12,8,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DINO-3_OFFER,PS,OFFER,0.4111314842990873,23.998851234502098,1.0,0.0,33,0.020437683188361307,0.2396499277478169,90.5908307012861,13,9,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DINO-6_OFFER,PS,OFFER,0.4007567247155517,25.496478367097207,1.0,0.0,32,0.01835778657663275,0.2396499277478169,90.5908307012861,14,10,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_PNYCW-1_BID,WIND,BID,0.39477512050259983,-36.1017204561225,0.0,1.0,25,0.022572059534534308,0.2396499277478169,90.5908307012861,15,5,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_RCBKO-1_BID,WIND,BID,0.3681074347777627,-39.64098182785918,0.0,1.0,18,0.02734486796287808,0.2396499277478169,90.5908307012861,16,6,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_TKNWW-1_BID,WIND,BID,0.3385727716938601,-41.29440647640864,0.0,1.0,13,0.03092745229481067,0.2396499277478169,90.5908307012861,17,7,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_RCBKO-2_BID,WIND,BID,0.33566637343253647,-39.169129278178815,0.0,1.0,19,0.022161947549766085,0.2396499277478169,90.5908307012861,18,8,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_FOYE-1_OFFER,PS,OFFER,0.33313749869278614,24.762410129465966,1.0,0.0,29,0.015838647741566295,0.2396499277478169,90.5908307012861,19,11,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_SHBA-1_OFFER,CCGT,OFFER,0.32915572384770064,21.30047455094139,1.0,0.0,30,0.01510686305601303,0.2396499277478169,90.5908307012861,20,12,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_SEAB-2_OFFER,CCGT,OFFER,0.30210517440158413,21.91542596277126,1.0,0.0,28,0.013985932921123045,0.2396499277478169,90.5908307012861,21,13,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_GRAI-8_OFFER,CCGT,OFFER,0.26089493579035833,21.972771280325663,1.0,0.0,23,0.013482964334643181,0.2396499277478169,90.5908307012861,22,14,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DRAXX-4_BID,BIOMASS,BID,0.2553480432809706,-12.9627769494532,0.0,1.0,38,0.009926289805356812,0.2396499277478169,90.5908307012861,23,9,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_FFES-1_OFFER,PS,OFFER,0.2374846319761516,12.251535251203721,1.0,0.0,41,0.007901311417641717,0.2396499277478169,90.5908307012861,24,15,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_CLDCW-1_BID,WIND,BID,0.22877157991494115,-27.816860585402356,0.0,1.0,19,0.013150085615569775,0.2396499277478169,90.5908307012861,25,10,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_SHBA-2_OFFER,CCGT,OFFER,0.22277795294154829,21.240227148610693,1.0,0.0,23,0.011327753162476148,0.2396499277478169,90.5908307012861,26,16,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_DINO-4_OFFER,PS,OFFER,0.21740666229762745,14.21056898051423,1.0,0.0,30,0.008778257413797735,0.2396499277478169,90.5908307012861,27,17,24072,17047,4000
2023,BMU ID,marginal_bmu_id,T_SPLN-1_OFFER,CCGT,OFFER,0.18953960624675342,16.101772463259636,1.0,0.0,25,0.00831088083415918,0.2396499277478169,90.5908307012861,28,18,24072,17047,4000
