side,marginal_bmu_id,technology_key,n_marginal_sps,tie_adjusted_weight,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,marginal_side_share_pct,technology_side_median_system_price,p05_system_price_deviation,p25_system_price_deviation,median_system_price_deviation,p75_system_price_deviation,p95_system_price_deviation,registered_capacity_mw,plant_family,lead_party,displayed_in_figure
OFFER,T_NTRVB-1,BATTERY,31,31.0,83.08500000000001,96.435,105.0,114.02168388454135,134.5,0.13081824703548972,107.235,-24.14999999999999,-10.799999999999997,-2.2349999999999994,6.786683884541347,27.265,57.0,T_NTRVB,Arenko Cleantech Limited,False
OFFER,2__AFLEX005,LOAD RESPONSE,107,30.982341634973213,95.6,111.0,127.0,154.25,188.79999999999995,0.13074372973360854,109.0,-13.400000000000006,2.0,18.0,45.25,79.79999999999995,49.0,2__AFLEX,Flexitricity Limited,False
OFFER,V__AZENO002,OTHER,93,30.707893495393495,78.0,94.0,110.0,123.0,135.964,0.12958557410386756,107.345,-29.345,-13.344999999999999,2.655000000000001,15.655000000000001,28.619,0.0,V__AZENO,BESS Holdco 2 Limited,False
OFFER,2__HANGE005,OTHER,33,30.583333333333332,51.616,96.0,102.0,118.0,137.45199999999997,0.1290599372635073,107.345,-55.729,-11.344999999999999,-5.344999999999999,10.655000000000001,30.10699999999997,101.899,2__HANGE_OTH,Limejump Energy Limited,False
OFFER,T_PINFB-2,OTHER,81,30.26671384171384,79.75,94.0,106.0,126.0,150.0,0.1277238209128322,107.345,-27.595,-13.344999999999999,-1.3449999999999989,18.655,42.655,26.0,T_PINFB_OTH,Zenobe Capenhurst Limited,False
OFFER,2__NLOND001,OCGT,34,29.75,88.625,103.5875,109.25493108277439,123.36,158.19999999999993,0.12554331771954255,114.37479876576336,-25.74979876576336,-10.787298765763353,-5.119867682988968,8.98520123423664,43.82520123423657,30.0,2__NLOND_OC,EDF Energy Customers Limited,False
OFFER,2__HANGE004,BATTERY,44,29.72361111111111,70.798,85.0,97.0,108.92500000000001,132.25,0.12543195810065036,107.235,-36.437,-22.235,-10.235,1.690000000000012,25.015,49.335,2__HANGE_B,Limejump Energy Limited,False
OFFER,2__HSTAT004,BATTERY,36,29.194877344877344,81.725,98.01823479484673,106.25999999999999,113.15,134.3730682637439,0.12320073150558022,107.235,-25.510000000000005,-9.216765205153266,-0.9750000000000085,5.915000000000006,27.138068263743904,20.0,2__HSTAT,Statkraft Markets Gmbh,False
OFFER,T_RICHB-1,OTHER,44,29.15456349206349,54.553,89.75,102.725,113.80000000000001,125.7,0.12303060932634297,107.345,-52.792,-17.595,-4.6200000000000045,6.4550000000000125,18.355000000000004,49.9,T_RICHB,Limejump Energy Limited,False
OFFER,2__HANGE001,LOAD RESPONSE,51,29.081461593961595,65.015,90.73503657154632,99.43013698630136,111.53,122.9,0.1227221234500637,109.0,-43.985,-18.264963428453683,-9.569863013698637,2.530000000000001,13.900000000000006,50.0,2__HANGE_LR,Limejump Energy Limited,False
