niv_bin,technology,technology_sp_weight,n_settlement_periods,median_system_price,q1_system_price,q3_system_price,share_within_niv_bin,share_pct
"< −1,000",WIND,139.0,265,-25.46,-61.04,0.0,0.5245283018867924,52.45283018867924
"< −1,000",BATTERY,36.5,265,-25.46,-61.04,0.0,0.13773584905660377,13.773584905660377
"< −1,000",CCGT,22.0,265,-25.46,-61.04,0.0,0.0830188679245283,8.30188679245283
"< −1,000",OTHER,18.0,265,-25.46,-61.04,0.0,0.06792452830188679,6.7924528301886795
"< −1,000",PS,15.5,265,-25.46,-61.04,0.0,0.05849056603773585,5.849056603773585
"< −1,000",BIOMASS,11.5,265,-25.46,-61.04,0.0,0.04339622641509434,4.339622641509433
"< −1,000",IFA,7.5,265,-25.46,-61.04,0.0,0.02830188679245283,2.8301886792452833
"< −1,000",IFA2,5.0,265,-25.46,-61.04,0.0,0.018867924528301886,1.8867924528301887
"< −1,000",BritNed,3.0,265,-25.46,-61.04,0.0,0.011320754716981131,1.1320754716981132
"< −1,000",DSR,3.0,265,-25.46,-61.04,0.0,0.011320754716981131,1.1320754716981132
"< −1,000",NEMO,2.0,265,-25.46,-61.04,0.0,0.007547169811320755,0.7547169811320755
"< −1,000",COAL,1.0,265,-25.46,-61.04,0.0,0.0037735849056603774,0.37735849056603776
"< −1,000",SOLAR,1.0,265,-25.46,-61.04,0.0,0.0037735849056603774,0.37735849056603776
"−1,000 to −500",WIND,818.0,3008,27.54385045833333,-8.49,59.0675,0.27194148936170215,27.194148936170215
"−1,000 to −500",CCGT,803.525,3008,27.54385045833333,-8.49,59.0675,0.2671293218085106,26.712932180851062
"−1,000 to −500",BATTERY,524.5666666666667,3008,27.54385045833333,-8.49,59.0675,0.1743905141843972,17.439051418439718
"−1,000 to −500",BIOMASS,217.5547619047619,3008,27.54385045833333,-8.49,59.0675,0.07232538627152989,7.232538627152989
"−1,000 to −500",OTHER,209.81666666666666,3008,27.54385045833333,-8.49,59.0675,0.06975288120567376,6.975288120567376
"−1,000 to −500",PS,172.39285714285714,3008,27.54385045833333,-8.49,59.0675,0.05731145516717325,5.7311455167173255
"−1,000 to −500",DSR,99.86666666666666,3008,27.54385045833333,-8.49,59.0675,0.033200354609929074,3.3200354609929073
"−1,000 to −500",BritNed,32.0,3008,27.54385045833333,-8.49,59.0675,0.010638297872340425,1.0638297872340425
"−1,000 to −500",NEMO,31.5,3008,27.54385045833333,-8.49,59.0675,0.010472074468085107,1.0472074468085106
"−1,000 to −500",IFA,20.0,3008,27.54385045833333,-8.49,59.0675,0.006648936170212766,0.6648936170212766
"−1,000 to −500",IFA2,20.0,3008,27.54385045833333,-8.49,59.0675,0.006648936170212766,0.6648936170212766
"−1,000 to −500",OCGT,15.583333333333334,3008,27.54385045833333,-8.49,59.0675,0.005180629432624114,0.5180629432624113
"−1,000 to −500",NPSHYD,14.4,3008,27.54385045833333,-8.49,59.0675,0.0047872340425531915,0.4787234042553191
"−1,000 to −500",COAL,10.594047619047618,3008,27.54385045833333,-8.49,59.0675,0.003521957320162107,0.3521957320162107
"−1,000 to −500",Eleclink,8.0,3008,27.54385045833333,-8.49,59.0675,0.0026595744680851063,0.26595744680851063
"−1,000 to −500",Viking,5.0,3008,27.54385045833333,-8.49,59.0675,0.0016622340425531915,0.16622340425531915
"−1,000 to −500",SOLAR,4.0,3008,27.54385045833333,-8.49,59.0675,0.0013297872340425532,0.13297872340425532
"−1,000 to −500",GAS,1.2,3008,27.54385045833333,-8.49,59.0675,0.00039893617021276594,0.03989361702127659
−500 to −250,CCGT,2754.3271284271286,6865,52.15942816256625,15.334110171241813,66.0,0.4012129830192467,40.12129830192467
−500 to −250,BATTERY,1157.551934176934,6865,52.15942816256625,15.334110171241813,66.0,0.16861645071768888,16.861645071768887
−500 to −250,WIND,1005.7333333333333,6865,52.15942816256625,15.334110171241813,66.0,0.14650157805292546,14.650157805292546
−500 to −250,OTHER,467.328774003774,6865,52.15942816256625,15.334110171241813,66.0,0.06807411128969759,6.807411128969759
−500 to −250,BIOMASS,431.39029304029305,6865,52.15942816256625,15.334110171241813,66.0,0.06283908128773387,6.283908128773387
−500 to −250,PS,400.04358974358973,6865,52.15942816256625,15.334110171241813,66.0,0.05827291911778437,5.827291911778437
−500 to −250,DSR,224.2505772005772,6865,52.15942816256625,15.334110171241813,66.0,0.03266577963591802,3.2665779635918017
−500 to −250,NEMO,72.0,6865,52.15942816256625,15.334110171241813,66.0,0.010487982520029132,1.0487982520029133
−500 to −250,IFA,68.5,6865,52.15942816256625,15.334110171241813,66.0,0.009978150036416606,0.9978150036416605
−500 to −250,NPSHYD,67.67350427350428,6865,52.15942816256625,15.334110171241813,66.0,0.00985775735957819,0.985775735957819
−500 to −250,BritNed,63.166666666666664,6865,52.15942816256625,15.334110171241813,66.0,0.009201262442340374,0.9201262442340374
−500 to −250,OCGT,41.42619047619048,6865,52.15942816256625,15.334110171241813,66.0,0.006034405022023376,0.6034405022023376
−500 to −250,COAL,39.92943722943723,6865,52.15942816256625,15.334110171241813,66.0,0.005816378329124141,0.5816378329124141
−500 to −250,IFA2,28.0,6865,52.15942816256625,15.334110171241813,66.0,0.004078659868900218,0.40786598689002185
−500 to −250,Viking,25.0,6865,52.15942816256625,15.334110171241813,66.0,0.003641660597232338,0.3641660597232338
−500 to −250,Eleclink,11.0,6865,52.15942816256625,15.334110171241813,66.0,0.0016023306627822287,0.16023306627822287
