tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
197,2__FSTAT001,BATTERY,2__FSTAT,Statkraft Markets Gmbh,50.0,72,0.8333333333333333,45.547161172161175,46.38049450549451,0.09150914392213422,0.001644174361402678,0.08986496956073155,Offer,0.9820326768349869
198,2__GSTAT002,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,20.0,89,1.1111111111111112,44.83281440781441,45.943925518925525,0.0906477892804939,0.0021922324818702374,0.08845555679862366,Offer,0.9758159299937612
199,T_CLDNW-1,WIND,T_CLDNW,Clyde Windfarm (Scotland) Ltd,200.0,46,44.0,1.5,45.5,0.08977192013258622,0.0868124062820614,0.0029595138505248203,Bid,0.967032967032967
200,2__GSTAT001,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,20.0,88,0.75,44.49710012210012,45.24710012210012,0.0892729463382924,0.0014797569252624101,0.08779318941302999,Offer,0.9834243521026517
201,T_MOWEO-3,WIND,T_MOWEO,Moray Offshore Wind East Ltd,300.0,78,44.5,0.0,44.5,0.087798910898903,0.087798910898903,0.0,Bid,1.0
202,T_MOWEO-2,WIND,T_MOWEO,Moray Offshore Wind East Ltd,300.0,81,41.5,2.0,43.5,0.08582590166521979,0.08187988319785336,0.003946018467366428,Bid,0.9540229885057471
203,T_WBURB-43,BATTERY,T_WBURB_B,West Burton B Limited,31.0,85,33.10414862914863,10.342261904761905,43.44641053391054,0.08572016915379713,0.06531479091853175,0.020405378235265382,Bid,0.7619535934576316
204,I_IND-DSKC1,NEMO,I_IND-DSKC,Danske Commodities A/S,,44,43.0,0.0,43.0,0.08483939704837819,0.08483939704837819,0.0,Bid,1.0
205,T_KENNW-1,WIND,T_KENNW,Kennoxhead Wind Farm Limited,60.0,43,42.0,1.0,43.0,0.08483939704837819,0.08286638781469498,0.001973009233683214,Bid,0.9767441860465116
206,V__MCEND001,BATTERY,V__MCEND,Centrica Business Solutions UK,0.0,49,33.583333333333336,9.25,42.833333333333336,0.08451056217609766,0.06626022676452793,0.018250335411569726,Bid,0.7840466926070039
