side,replacement_marginal_bmu,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,lead_party,years_present,distinct_settlement_periods,tie_adjusted_share_within_side,tie_adjusted_rank_within_side
offer,E_PGFARE,DIESEL,2,2.0,Peak Gen Top Co Limited,2025,2,0.00045662100456621003,189
offer,E_RAKE-1,DIESEL,2,2.0,Conrad Energy (Trading) Ltd,2025,2,0.00045662100456621003,190
offer,M_SLOY-4,NPSHYD,2,2.0,SSE Generation Ltd,"2023, 2025",2,0.00045662100456621003,191
offer,T_SGRWO-1,WIND,2,2.0,Seagreen Wind Energy Limited,2023,2,0.00045662100456621003,192
offer,V__MEROV001,GAS,7,1.9999999999999996,Erova Energy Limited,2023,2,0.0004566210045662099,193
offer,2__BFLEX002,LOAD RESPONSE,2,1.0,Flexitricity Limited,2024,1,0.00022831050228310502,194
offer,2__BUKPR001,OCGT,1,1.0,UK Power Reserve Limited,2025,1,0.00022831050228310502,195
offer,2__EFLEX001,LOAD RESPONSE,1,1.0,Flexitricity Limited,2023,1,0.00022831050228310502,196
offer,2__EFLEX002,LOAD RESPONSE,1,1.0,Flexitricity Limited,2024,1,0.00022831050228310502,197
offer,2__LANGE001,LOAD RESPONSE,1,1.0,Limejump Energy Limited,2024,1,0.00022831050228310502,198
offer,E_DIDC3G,OCGT,1,1.0,RWE Generation UK plc,2024,1,0.00022831050228310502,199
offer,T_BHLAW-1,WIND,1,1.0,SSE Generation Ltd,2024,1,0.00022831050228310502,200
offer,T_GLNDO-1,NPSHYD,1,1.0,SSE Generation Ltd,2025,1,0.00022831050228310502,201
offer,T_HOWBO-1,WIND,1,1.0,Breesea Limited,2025,1,0.00022831050228310502,202
offer,T_NANT-1,NPSHYD,1,1.0,SSE Generation Ltd,2025,1,0.00022831050228310502,203
offer,T_SUTB-1,CCGT,4,1.0,SUTTON BRIDGE POWER GENERATION,2025,1,0.00022831050228310502,204
offer,T_TKNEW-1,WIND,1,1.0,Triton Knoll Offshore Wind,2025,1,0.00022831050228310502,205
