predictor,source_column,feature,side,mean_abs_shap,conditional_mean_shap_when_active,conditional_mean_abs_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,active_weight_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank,weighted_test_r2,weighted_test_mae,weighted_test_rmse,unweighted_test_r2,unweighted_test_mae,unweighted_test_rmse,holdout_cutoff,entity_id,identity_name,bmu_id,plant_family,technology,lead_party,global_rank,panel,resolution,technology_key,display_label
Family ID,marginal_family_id,T_CRUA_OFFER,OFFER,0.893222564185689,24.63988697372762,24.63988697372762,1.0,0.0,70,65.66666666666666,0.0459992666733997,0.1887719861180565,82.36037528752183,6,5,0.1493953021971908,27.59139327851204,38.39832500331034,0.1601607083120586,27.45217064343264,38.15456321879331,2025-05-26 SP14,T_CRUA,T_CRUA,"T_CRUA-1, T_CRUA-2, T_CRUA-3, T_CRUA-4",T_CRUA,PS,Drax Pumped Storage Limited,6,B,Plant family,PS,T_CRUA · offer
Family ID,marginal_family_id,T_COSO_OFFER,OFFER,0.7189728306008234,25.57988640481809,25.57988640481809,1.0,0.0,59,55.0,0.0345937948025086,0.1887719861180565,82.36037528752183,7,6,0.1493953021971908,27.59139327851204,38.39832500331034,0.1601607083120586,27.45217064343264,38.15456321879331,2025-05-26 SP14,T_COSO,T_COSO,T_COSO-1,T_COSO,CCGT,Coryton Energy Company Ltd,7,B,Plant family,CCGT,T_COSO · offer
Family ID,marginal_family_id,T_SHBA_OFFER,OFFER,0.6356289124403607,19.3411933668844,19.3411933668844,1.0,0.0,68,63.83333333333333,0.0250027321220396,0.1887719861180565,82.36037528752183,8,7,0.1493953021971908,27.59139327851204,38.39832500331034,0.1601607083120586,27.45217064343264,38.15456321879331,2025-05-26 SP14,T_SHBA,T_SHBA,"T_SHBA-1, T_SHBA-2",T_SHBA,CCGT,EP UK INVESTMENTS LIMITED,8,B,Plant family,CCGT,T_SHBA · offer
BMU ID,marginal_bmu_id,T_RYHPS-1_OFFER,OFFER,0.7453167149087673,57.07649058097317,57.07649058097317,1.0,0.0,11,10.5,0.1291359475052776,0.1390227409923853,82.36037528752148,1,1,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_RYHPS-1,T_RYHPS-1,T_RYHPS-1,T_RYHPS,CCGT,VPI Power Limited,1,C,BMU,CCGT,T_RYHPS-1 · offer
BMU ID,marginal_bmu_id,T_COSO-1_OFFER,OFFER,0.6819095733818111,23.175455306498176,23.175455306498176,1.0,0.0,31,31.0,0.0428192010089806,0.1390227409923853,82.36037528752148,2,2,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_COSO-1,Coryton Power Station,T_COSO-1,T_COSO,CCGT,Coryton Energy Company Ltd,2,C,BMU,CCGT,T_COSO-1 · offer
BMU ID,marginal_bmu_id,T_DRAXX-1_BID,BID,0.654445070845824,-36.228369110487286,36.228369110487286,0.0,1.0,17,17.0,0.0633970667012474,0.1390227409923853,82.36037528752148,3,1,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DRAXX-1,T_DRAXX-1,T_DRAXX-1,T_DRAXX,BIOMASS,Drax Power Ltd,3,C,BMU,BIOMASS,T_DRAXX-1 · bid
BMU ID,marginal_bmu_id,T_SEAB-1_OFFER,OFFER,0.5527896313024572,17.98911870236082,17.98911870236082,1.0,0.0,29,28.333333333333336,0.0297198822581751,0.1390227409923853,82.36037528752148,4,3,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_SEAB-1,Seabank Power Module,T_SEAB-1,T_SEAB,CCGT,Seabank Power Limited,4,C,BMU,CCGT,T_SEAB-1 · offer
BMU ID,marginal_bmu_id,T_DINO-2_OFFER,OFFER,0.5276027080594067,24.510164889059645,24.510164889059645,1.0,0.0,21,20.5,0.0485127362080954,0.1390227409923853,82.36037528752148,5,4,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DINO-2,Dinorwig 2,T_DINO-2,T_DINO,PS,First Hydro Company,5,C,BMU,PS,T_DINO-2 · offer
BMU ID,marginal_bmu_id,T_HUMR-1_OFFER,OFFER,0.4850302511858848,19.203225774690942,19.203225774690942,1.0,0.0,27,25.5,0.0269772836385931,0.1390227409923853,82.36037528752148,6,5,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_HUMR-1,HUMR-1,T_HUMR-1,T_HUMR_CC,CCGT,VPI Immingham LLP,6,C,BMU,CCGT,T_HUMR-1 · offer
BMU ID,marginal_bmu_id,T_DAMC-1_OFFER,OFFER,0.4680404423500507,20.176451525228167,20.176451525228167,1.0,0.0,21,19.33333333333333,0.0316632574995655,0.1390227409923853,82.36037528752148,7,6,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_DAMC-1,Damhead Creek Ltd.,T_DAMC-1,T_DAMC,CCGT,VPI Power Limited,7,C,BMU,CCGT,T_DAMC-1 · offer
BMU ID,marginal_bmu_id,T_CRUA-1_OFFER,OFFER,0.4013014512674345,21.107617606819662,21.107617606819662,1.0,0.0,15,15.0,0.0327595001879057,0.1390227409923853,82.36037528752148,8,7,0.0718864433550563,29.382295397846597,40.10965716026676,0.0874561108639911,29.181332817536816,39.771802331439154,2025-05-26 SP14,T_CRUA-1,T_CRUA-1,T_CRUA-1,T_CRUA,PS,Drax Pumped Storage Limited,8,C,BMU,PS,T_CRUA-1 · offer
