niv_active_side,technology,overall_weight,overall_share,tail_weight,tail_share,overall_share_pct,tail_share_pct,overrepresentation_pp,tail_quantile,system_price_threshold_gbp_mwh,n_side_periods,n_tail_periods
bid,CCGT,11808.29567099567,0.43755495872070516,23.0,0.017037037037037038,43.75549587207052,1.7037037037037037,-42.051792168366816,P5 lower,-17.975999999999985,26987,1350
bid,BATTERY,4547.009872072372,0.16848889732361402,85.08333333333333,0.06302469135802469,16.848889732361403,6.302469135802468,-10.546420596558935,P5 lower,-17.975999999999985,26987,1350
bid,WIND,3282.233333333333,0.12162275663591111,879.0,0.6511111111111111,12.162275663591112,65.11111111111111,52.948835447520004,P5 lower,-17.975999999999985,26987,1350
bid,OTHER,1765.2634004884005,0.06541162042792457,40.333333333333336,0.029876543209876545,6.5411620427924575,2.9876543209876547,-3.553507721804803,P5 lower,-17.975999999999985,26987,1350
bid,BIOMASS,1653.6558774558775,0.061276017247410886,119.0,0.08814814814814814,6.127601724741089,8.814814814814815,2.687213090073726,P5 lower,-17.975999999999985,26987,1350
bid,PS,1593.0703144078143,0.05903102658345923,37.5,0.027777777777777776,5.903102658345923,2.7777777777777777,-3.1253248805681455,P5 lower,-17.975999999999985,26987,1350
bid,DSR,795.5732073482073,0.02947986835692027,17.083333333333332,0.01265432098765432,2.947986835692027,1.265432098765432,-1.682554736926595,P5 lower,-17.975999999999985,26987,1350
bid,NPSHYD,309.0330641580642,0.011451182575242308,6.0,0.0044444444444444444,1.1451182575242307,0.4444444444444444,-0.7006738130797863,P5 lower,-17.975999999999985,26987,1350
bid,NEMO,219.0,0.008115018342164746,43.0,0.03185185185185185,0.8115018342164746,3.185185185185185,2.3736833509687107,P5 lower,-17.975999999999985,26987,1350
bid,IFA,211.16666666666666,0.007824755129012734,19.0,0.014074074074074074,0.7824755129012734,1.4074074074074074,0.6249318945061341,P5 lower,-17.975999999999985,26987,1350
bid,BritNed,192.0,0.007114536628747174,39.0,0.028888888888888888,0.7114536628747175,2.888888888888889,2.1774352260141714,P5 lower,-17.975999999999985,26987,1350
bid,COAL,159.50930735930737,0.0059105979678848106,0.0,0.0,0.5910597967884811,0.0,-0.5910597967884811,P5 lower,-17.975999999999985,26987,1350
bid,OCGT,149.18571428571428,0.005528058483185026,0.0,0.0,0.5528058483185025,0.0,-0.5528058483185025,P5 lower,-17.975999999999985,26987,1350
